host,neighboraddress,timestamp,vrf,lastchange,peer_as,sessionstate,prefixesreceived,prefixaccepted,prefixsent,peergroups,neighborinfo,DeviceType
d14x98anrb2.network.microsoft.com,199.33.62.29,11:55.0,default,27:55.3,,ESTABLISHED,0,6,,evpz-client,d14x98anrur,BL
d14x98anrb2.network.microsoft.com,199.33.62.24,11:55.0,default,01:27.6,,CONNECT,0,0,0,evpz-client,d14x98anrum,BL
d14x98anrb2.network.microsoft.com,199.33.62.28,11:55.0,default,56:54.3,,ESTABLISHED,0,0,,evpz-client,d14x98anruq,BL
d14x98anrb2.network.microsoft.com,199.36.199.3,11:55.0,default,42:35.5,,IDLE,0,0,0,evpz-cp1,,BL
d14x98anrb2.network.microsoft.com,199.33.62.9,11:55.0,default,45:20.1,,ESTABLISHED,0,0,,evpz-client,d14x98an2m2,BL
d14x98anrb2.network.microsoft.com,199.33.62.8,11:55.0,default,45:23.8,,ESTABLISHED,30,30,,evpz-client,d14x98an2m1,BL
d14x98anrb2.network.microsoft.com,199.33.62.19,11:55.0,default,33:31.1,,ESTABLISHED,873,873,,evpz-client,d14x98anruh,BL
d14x98anrb2.network.microsoft.com,172.199.160.27,11:55.0,default,08:13.7,,ESTABLISHED,0,0,0,corp-ts-v4,d14x98anru2,BL
d14x98anrb2.network.microsoft.com,199.33.62.63,11:55.0,default,32:23.5,,ESTABLISHED,170,170,,evpz-client,d14x98anruu,BL
d14x98anrb2.network.microsoft.com,199.33.62.18,11:55.0,default,02:51.6,,ESTABLISHED,872,872,,evpz-client,d14x98anrug,BL
d14x98anrb2.network.microsoft.com,199.33.62.21,11:55.0,default,46:17.8,,CONNECT,0,0,0,evpz-client,d14x98anruj,BL
d14x98anrb2.network.microsoft.com,199.33.62.22,11:55.0,default,51:03.6,,CONNECT,0,0,0,evpz-client,d14x98anruk,BL
d14x98anrb2.network.microsoft.com,199.33.62.31,11:55.0,default,51:02.0,,ESTABLISHED,0,0,,evpz-client,d14x98anrut,BL
d14x98anrb2.network.microsoft.com,2ff1:f801:3000:2::15,11:55.0,default,45:21.0,,ESTABLISHED,0,0,0,corp-wan-v6,d14x98ca951,BL
d14x98anrb2.network.microsoft.com,199.32.65.3,11:55.0,default,42:35.9,,IDLE,0,0,0,evpz-sg2,,BL
d14x98anrb2.network.microsoft.com,199.33.62.126,11:55.0,default,45:19.8,,ESTABLISHED,54,54,,evpz-client,d14x98an5uc,BL
d14x98anrb2.network.microsoft.com,199.32.65.0,11:55.0,default,42:37.2,,IDLE,0,0,0,evpz-sg2,,BL
d14x98anrb2.network.microsoft.com,199.33.62.20,11:55.0,default,44:45.4,,CONNECT,0,0,0,evpz-client,d14x98anrui,BL
